<DATE>	<BALANCE>	<EQUITY>	<DEPOSIT LOAD>
2022.12.09 12:42	11025.00	11040.00	1.8120
2022.12.09 12:43	11025.00	11050.00	0.9052
2022.12.09 12:43	11026.00	11032.00	0.9066
2022.12.09 12:44	11026.00	11026.00	0.0000
2022.12.09 13:18	11046.00	10988.00	0.0000
2022.12.09 13:19	11046.00	11058.00	1.8091
2022.12.09 13:21	11046.00	11072.00	0.9034
2022.12.09 13:28	11098.00	11051.00	0.9051
2022.12.09 13:54	11098.00	11137.00	0.8981
2022.12.09 14:17	11098.00	11098.00	0.0000
2022.12.14 15:32	11006.00	11104.00	1.8016
2022.12.14 15:33	11006.00	11028.00	0.0000
2022.12.14 15:34	11006.00	11006.00	0.0000
2022.12.19 15:26	10970.00	11010.00	1.8170
2022.12.19 15:26	10970.00	11000.00	0.0000
2022.12.19 15:27	10970.00	10970.00	0.0000
2022.12.20 14:32	10924.00	10980.00	1.8219
2022.12.20 14:32	10924.00	10946.00	0.0000
2022.12.20 14:33	10924.00	10924.00	0.0000
2022.12.21 12:46	10942.00	10932.00	1.8299
2022.12.21 12:48	10942.00	10888.00	0.0000
2022.12.21 12:49	10942.00	10966.00	0.9121
2022.12.21 12:50	10943.00	10950.00	0.9134
2022.12.21 12:50	10943.00	10943.00	0.0000
2022.12.23 11:12	10971.00	10895.00	0.0000
2022.12.23 11:12	10971.00	10991.00	1.8201
2022.12.23 11:13	10971.00	11001.00	0.9092
2022.12.23 11:15	10972.00	11068.00	0.9037
2022.12.23 11:17	10972.00	10979.00	0.9110
2022.12.23 11:18	10972.00	10972.00	0.0000
2022.12.27 09:21	10989.00	10994.00	1.8196
2022.12.27 09:27	10989.00	10928.00	0.0000
2022.12.27 09:29	10989.00	11010.00	0.9084
2022.12.27 09:29	10990.00	10994.00	0.9098
2022.12.27 09:30	10990.00	10990.00	0.0000
2022.12.28 13:26	11008.00	11004.00	1.8180
2022.12.28 13:28	11008.00	10956.00	0.0000
2022.12.28 13:31	11008.00	11027.00	0.9070
2022.12.28 13:33	11009.00	11019.00	0.9077
2022.12.28 13:35	11009.00	11051.00	0.9051
2022.12.28 13:36	11009.00	11009.00	0.0000
2022.12.28 16:25	11025.00	11033.00	1.8132
2022.12.28 16:26	11025.00	10985.00	0.0000
2022.12.28 16:32	11025.00	11054.00	0.9048
2022.12.28 16:32	11026.00	11051.00	0.9051
2022.12.28 16:33	11026.00	11026.00	0.0000
2023.01.04 14:42	11053.00	11058.00	1.8091
2023.01.04 14:43	11053.00	11080.00	0.9027
2023.01.04 14:45	11054.00	11111.00	0.9002
2023.01.04 14:51	11054.00	11056.00	0.9047
2023.01.04 14:52	11054.00	11054.00	0.0000
2023.01.05 11:58	11074.00	11092.00	1.8036
2023.01.05 11:59	11074.00	11098.00	0.9012
2023.01.05 11:59	11075.00	11083.00	0.9025
2023.01.05 12:00	11075.00	11075.00	0.0000
2023.01.06 11:17	11098.00	11107.00	1.8011
2023.01.06 11:17	11098.00	11067.00	0.0000
2023.01.06 11:19	11098.00	11123.00	0.8992
2023.01.06 11:19	11099.00	11111.00	0.9002
2023.01.06 11:20	11099.00	11099.00	0.0000
2023.01.06 14:05	11117.00	11095.00	0.0000
2023.01.06 14:05	11117.00	11133.00	1.7969
2023.01.06 14:07	11117.00	11139.00	0.8979
2023.01.06 14:07	11118.00	11132.00	0.8985
2023.01.06 14:08	11118.00	11118.00	0.0000
2023.01.06 15:05	11072.00	11132.00	1.7971
2023.01.06 15:09	11072.00	11086.00	0.0000
2023.01.06 15:10	11072.00	11072.00	0.0000
2023.01.10 13:08	11074.00	11102.00	1.8019
2023.01.10 13:10	11074.00	11074.00	0.0000
2023.01.11 16:47	11160.00	11154.00	1.7935
2023.01.11 16:56	11160.00	11160.00	0.0000
2023.01.17 11:48	11181.00	11142.00	0.0000
2023.01.17 11:48	11181.00	11192.00	1.7874
2023.01.17 11:49	11181.00	11212.00	0.8921
2023.01.17 11:52	11182.00	11235.00	0.8903
2023.01.17 11:55	11182.00	11187.00	0.8941
2023.01.17 11:56	11182.00	11182.00	0.0000
2023.01.17 11:59	11184.00	11218.00	1.7833
2023.01.17 12:00	11184.00	11184.00	0.0000
2023.01.19 15:48	11194.00	11192.00	1.7874
2023.01.19 15:49	11194.00	11180.00	0.0000
2023.01.19 15:49	11194.00	11211.00	0.8922
2023.01.19 15:50	11195.00	11200.00	0.8930
2023.01.19 15:55	11195.00	11227.00	0.8909
2023.01.19 16:01	11195.00	11195.00	0.0000
2023.01.24 14:04	11175.00	11199.00	1.7863
2023.01.24 14:04	11175.00	11177.00	0.0000
2023.01.24 14:05	11175.00	11175.00	0.0000
2023.01.24 14:20	11141.00	11177.00	1.7898
2023.01.24 14:22	11141.00	11145.00	0.0000
2023.01.24 14:23	11141.00	11141.00	0.0000
2023.01.25 16:57	11151.00	11119.00	0.0000
2023.01.25 16:59	11151.00	11159.00	1.7927
2023.01.25 17:00	11151.00	11162.00	0.8961
2023.01.25 17:00	11152.00	11158.00	0.8964
2023.01.25 17:01	11152.00	11152.00	0.0000
2023.01.31 10:18	11154.00	11196.00	1.7868
2023.01.31 10:19	11154.00	11154.00	0.0000
2023.02.13 13:52	11162.00	11138.00	0.0000
2023.02.13 13:53	11162.00	11164.00	1.7919
2023.02.13 13:54	11162.00	11174.00	0.8951
2023.02.13 13:55	11163.00	11169.00	0.8955
2023.02.13 13:55	11163.00	11163.00	0.0000
2023.02.13 14:09	11169.00	11151.00	0.0000
2023.02.13 14:09	11169.00	11177.00	0.8949
2023.02.13 14:10	11170.00	11175.00	0.8950
2023.02.13 14:10	11170.00	11183.00	0.8944
2023.02.13 14:11	11170.00	11170.00	0.0000
2023.02.13 14:29	11132.00	11156.00	0.0000
2023.02.13 14:30	11132.00	11132.00	0.0000
2023.02.15 12:10	11144.00	11134.00	1.7967
2023.02.15 12:11	11144.00	11104.00	0.0000
2023.02.15 12:12	11144.00	11161.00	0.8962
2023.02.15 12:13	11213.00	11149.00	0.8971
2023.02.15 12:19	11213.00	11209.00	0.8923
2023.02.15 12:20	11213.00	11213.00	0.0000
2023.02.16 16:14	11240.00	11191.00	0.0000
2023.02.16 16:16	11240.00	11263.00	1.7762
2023.02.16 16:17	11240.00	11279.00	0.8868
2023.02.16 16:18	11241.00	11285.00	0.8863
2023.02.16 16:20	11241.00	11246.00	0.8894
2023.02.16 16:21	11241.00	11241.00	0.0000
2023.02.16 16:59	11191.00	11243.00	1.7793
2023.02.16 17:00	11191.00	11195.00	0.0000
2023.02.16 17:01	11191.00	11191.00	0.0000
2023.02.28 10:49	11206.00	11157.00	0.0000
2023.02.28 10:53	11206.00	11219.00	1.7831
2023.02.28 10:54	11206.00	11225.00	0.8910
2023.02.28 10:55	11207.00	11227.00	0.8909
2023.02.28 10:55	11207.00	11208.00	0.8924
2023.02.28 10:56	11207.00	11207.00	0.0000
2023.03.03 13:29	11218.00	11205.00	0.0000
2023.03.03 13:29	11218.00	11221.00	1.7828
2023.03.03 13:30	11218.00	11235.00	0.8903
2023.03.03 13:31	11219.00	11237.00	0.8901
2023.03.03 13:32	11219.00	11224.00	0.8911
2023.03.03 13:33	11219.00	11219.00	0.0000
2023.03.06 13:29	11221.00	11243.00	1.7793
2023.03.06 13:29	11221.00	11221.00	0.0000
2023.03.08 11:46	11236.00	11241.00	1.7796
2023.03.08 11:47	11236.00	11259.00	0.8884
2023.03.08 11:50	11323.00	11246.00	0.8894
2023.03.08 11:56	11323.00	11315.00	0.8840
2023.03.08 12:04	11323.00	11323.00	0.0000
2023.03.16 10:42	11325.00	11497.00	1.7400
2023.03.16 10:47	11325.00	11325.00	0.0000
2023.03.29 09:07	11219.00	11375.00	1.7587
2023.03.29 09:36	11219.00	11221.00	0.0000
2023.03.29 09:38	11219.00	11219.00	0.0000
2023.03.29 12:16	11230.00	11203.00	0.0000
2023.03.29 12:17	11230.00	11237.00	1.7803
2023.03.29 12:20	11230.00	11249.00	0.8891
2023.03.29 12:21	11231.00	11259.00	0.8884
2023.03.29 12:22	11231.00	11238.00	0.8900
2023.03.29 12:23	11231.00	11231.00	0.0000
2023.03.31 10:26	11233.00	11275.00	1.7743
2023.03.31 10:27	11233.00	11233.00	0.0000
2023.04.11 10:56	11235.00	11277.00	1.7740
2023.04.11 10:57	11235.00	11235.00	0.0000
2023.04.11 11:30	11165.00	11175.00	0.0000
2023.04.11 11:31	11165.00	11165.00	0.0000
2023.04.12 10:45	11167.00	11221.00	1.7828
2023.04.12 10:45	11167.00	11167.00	0.0000
2023.04.12 13:23	11169.00	11191.00	1.7876
2023.04.12 13:23	11169.00	11169.00	0.0000
2023.04.18 09:30	11171.00	11243.00	1.7793
2023.04.18 09:31	11171.00	11171.00	0.0000
2023.04.27 16:39	11119.00	11195.00	1.7870
2023.04.27 16:44	11119.00	11131.00	0.0000
2023.04.27 16:45	11119.00	11119.00	0.0000
2023.05.05 12:00	11132.00	11143.00	1.7953
2023.05.05 12:01	11132.00	11158.00	0.8964
2023.05.05 12:03	11133.00	11140.00	0.8978
2023.05.05 12:05	11133.00	11166.00	0.8958
2023.05.05 12:07	11133.00	11133.00	0.0000
2023.05.05 15:15	11148.00	11135.00	1.7966
2023.05.05 15:16	11148.00	11117.00	0.0000
2023.05.05 15:16	11148.00	11164.00	0.8959
2023.05.05 15:16	11149.00	11160.00	0.8962
2023.05.05 15:17	11149.00	11149.00	0.0000
2023.05.05 16:02	11158.00	11137.00	0.0000
2023.05.05 16:03	11158.00	11171.00	0.8954
2023.05.05 16:03	11159.00	11159.00	0.0000
2023.05.08 09:18	11181.00	11181.00	1.7892
2023.05.08 09:20	11181.00	11109.00	0.0000
2023.05.08 09:23	11181.00	11210.00	0.8922
2023.05.08 09:24	11182.00	11215.00	0.8918
